id,UserOrdered,Ride,Date Of Order,Date to Ride,Time,Number of People,FirstName,LastName,email,telephone,Ethnicity,Residence,Date Of Birth,Driving License
5,Guest,First Timers,2023-04-11 19:04:14,2023-04-28,15:00-17:00,1,Marios,Charalambides,marios-1996@windowslive.com,+357997578269797,Antigua and Barbuda,Argentina,1996-06-19,NO
12012,Guest,2T Enduro,2023-04-14 22:56:32,2023-04-28,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,56461854166,Azerbaijan,Antarctica,2023-04-14,NO
12018,Guest,First Timers,2023-04-15 01:41:01,2023-04-28,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Bahamas (the),Aruba,2023-04-15,NO
12025,Guest,2T Enduro,2023-04-18 22:06:11,2023-04-29,5:04-7:10,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Australia,Bangladesh,2023-04-18,NO
12032,Guest,First Timers,2023-04-22 15:46:49,2023-04-30,11:00-12:00,2,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-04-22,NO
12011,Guest,First Timers,2023-04-14 22:53:08,2023-04-30,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,56461854166,Bahamas (the),Antarctica,2023-04-14,YES
12013,Guest,First Timers,2023-04-14 22:56:49,2023-04-30,11:00-12:00,1,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Aruba,American Samoa,2023-04-14,NO
12019,Guest,2T Enduro,2023-04-15 22:38:28,2023-04-30,14:00-15:00,2,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Azerbaijan,Anguilla,2023-04-15,NO
12008,Guest,First Timers,2023-04-12 00:19:00,2023-05-03,9:00-11:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-04-12,YES
12010,Guest,2T Enduro,2023-04-12 10:05:03,2023-05-03,14:00-15:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Armenia,Barbados,2023-04-12,NO
12037,Guest,Easy Enduro 1H,2023-05-06 14:03:55,2023-05-08,18:00-19:00,5,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Austria,Antarctica,2023-05-06,NO
12022,Guest,Easy Enduro 1H,2023-04-18 01:52:15,2023-05-09,11:00-12:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Armenia,Bahamas (the),2023-04-18,NO
12024,Guest,2T Enduro,2023-04-18 21:54:35,2023-05-09,15:00-17:00,2,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Aruba,Bahamas (the),2023-04-18,YES
12042,Guest,Easy Enduro 1H,2023-05-07 16:22:59,2023-05-10,15:00-17:00,6,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-07,NO
12027,Guest,2T Enduro,2023-04-19 01:42:02,2023-05-10,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Argentina,,2023-04-19,YES
12045,Guest,2T Enduro,2023-05-13 17:18:25,2023-05-14,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-13,NO
12049,Guest,First Timers,2023-05-14 02:22:22,2023-05-16,9:00-11:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-14,NO
12052,Guest,2T Enduro,2023-05-15 02:02:08,2023-05-16,15:00-17:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-15,NO
12038,Guest,2T Enduro,2023-05-07 06:28:19,2023-05-28,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-07,NO
12039,Guest,2T Enduro,2023-05-07 13:02:27,2023-05-28,14:00-15:00,2,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,Azerbaijan,Aruba,2023-05-07,NO
12040,Guest,First Timers,2023-05-07 15:52:12,2023-05-28,11:00-12:00,1,Marios,Charalambides,marios-1995@windowslive.com,+35799757826,,,2023-05-07,NO
12041,Guest,First Timers,2023-05-07 15:54:50,2023-05-28,14:00-15:00,3,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-07,NO
12043,Guest,2T Enduro,2023-05-12 20:48:38,2023-06-02,9:00-11:00,4,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-12,NO
12047,Guest,Easy Enduro 1H,2023-05-13 17:35:58,2023-06-03,14:00-15:00,5,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-13,NO
12053,Guest,Easy Enduro 1H,2023-05-15 02:03:21,2023-06-05,15:00-17:00,5,Marios,Charalambides,marios-1996@windowslive.com,+35799757826,,,2023-05-15,NO
